Order ID,Order Date,Ship Date,Ship Mode,Returned Order,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Person,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Discount_Value,COGS,Shipping Cost Per Unit,Total Shipping,Profit
CA-2016-152156,11/8/2016,11/11/2016,Second Class,No,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,Cassandra Brandow,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,-0.0,-220.04639999999998,8,16,41.9136
CA-2016-152156,11/8/2016,11/11/2016,Second Class,No,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,Cassandra Brandow,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,-0.0,-512.3580000000001,8,24,219.582
CA-2016-138688,6/12/2016,6/16/2016,Second Class,No,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,Anna Andreadi,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,-0.0,-7.748599999999999,7,14,6.8714
US-2015-108966,10/11/2015,10/18/2015,Standard Class,No,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,Cassandra Brandow,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-430.909875,-909.698625,6,30,-383.031
US-2015-108966,10/11/2015,10/18/2015,Standard Class,No,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,Cassandra Brandow,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,-4.4736,-15.377999999999997,6,12,2.5164
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,-0.0,-34.6906,7,49,14.1694
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,-0.0,-5.3144,7,28,1.9656
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,-181.43040000000002,-635.0064000000001,7,42,90.7152
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,-3.7008000000000005,-9.020700000000001,7,21,5.7825
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,-0.0,-80.43,7,35,34.47
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,-341.2368,-1279.6380000000001,7,63,85.3092
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,No,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,Anna Andreadi,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,-182.28480000000002,-660.7823999999999,7,28,68.3568
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,No,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,Cassandra Brandow,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,-3.1104000000000003,-6.998399999999999,6,18,5.4432
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,No,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,Anna Andreadi,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,-81.5952,-193.78860000000003,5,15,132.5922
US-2015-118983,11/22/2015,11/26/2015,Standard Class,No,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Kelly Williams,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-55.048,-137.62,10,50,-123.858
US-2015-118983,11/22/2015,11/26/2015,Standard Class,No,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Kelly Williams,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-2.0352,-4.3248,10,30,-3.816
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,No,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Kelly Williams,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,-0.0,-652.5624,5,30,13.3176
CA-2014-167164,5/13/2014,5/15/2014,Second Class,No,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,Anna Andreadi,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,-0.0,-45.51,8,16,9.99
